Lead ID,Name,Role,Industry,Posts Engaged,Connections,Engagement Rate,Recent Activity
1,Carl Grant,Room Attendant,Logistics,16.7,1181,0.34,Inactive
2,Jonathan Johnston,Pediatric Nurse,Healthcare,20.4,1909,0.57,Active
3,Heather Paterson,County Clerk,Retail,12.4,243,0.32,Active
4,Amanda Walker,Podiatrist,Healthcare,16.7,230,0.1,Inactive
5,Alexander Fisher,Bursar,Engineering,7.1,139,0.2,Active
6,Diana Coleman,Corporate Travel Manager,Customer service,23.9,1530,0.12,Inactive
7,Elizabeth Lee,Head of Finance,Facilities,17.2,1516,0.55,Inactive
8,Nathan Bond,Medical Secretary,Finance,25.0,278,0.5,Inactive
9,Edward Lewis,Business Analyst,Design,7.0,1596,0.39,Active
10,Sarah Buckland,Hotel Maintenance Manager,Healthcare,6.1,1022,0.14,Inactive
11,Kylie Taylor,Retail HR Manager,Facilities,6.3,506,0.25,Active
12,Irene Johnston,Social Media Coordinator,Sales,18.6,1899,0.22,Inactive
13,Joshua James,Content Editor,Real estate,9.4,1913,0.41,Inactive
14,Isaac Springer,Market Research Analyst,Law enforcement / Security,24.4,1867,0.45,Active
15,Megan Dowd,Notary,Marketing,5.9,171,0.35,Inactive
16,Julia Mackenzie,Landscaping Architecture,Corporate training,5.2,633,0.55,Inactive
17,Jane Lyman,Production Artist,Logistics,11.5,436,0.59,Active
18,Stewart Dowd,Training Administrator,Construction,20.9,648,0.3,Inactive
19,Sophie Parr,Public Relations Specialist,Accounting,16.5,1372,0.31,Inactive
20,Sean Watson,Warehouse Supervisor,Facilities,12.2,716,0.25,Active
21,Richard Vance,VP of Demand Generation,Travel & Tourism,22.8,152,0.52,Active
22,Isaac Wallace,Investment Banker,Marketing,12.3,772,0.36,Active
23,Hannah Cameron,HR & Admin Officer,Engineering,21.2,1112,0.17,Inactive
24,Keith Vance,Structural Engineer,Construction,7.7,1206,0.13,Active
25,Frank Pullman,Veterinarian,Facilities,9.8,1607,0.38,Inactive
26,Jonathan Churchill,Product Owner,Facilities,14.7,1918,0.51,Active
